Input,Output
Display disk usage of the current directory interactively in /Applications for [FILE],"```bash
du -sh /Applications/[FILE]*
```"
Display the contents of 'file.txt'  in the parent directory for [PROCESS_ID],"```bash
cat ../file.txt /proc/[PROCESS_ID]/fd/1
```"
Copy 'file1.txt' to 'file2.txt' recursively in the current folder for [PROCESS_ID],"```bash
cp --recursive file1.txt file2.txt --preserve=all
```"
Remove a file named 'example.txt' interactively in /Applications for [TIME],"```bash
rm -i /Applications/example.txt
```"
Display disk usage of the current directory silently in /Applications for [TIME],"```bash
(TIME=$(du -sh /Applications)) > /dev/null 2>&1
```"
Copy 'file1.txt' to 'file2.txt' quickly in /usr/local/bin for [APP_NAME],"```bash
cp /usr/local/bin/file1.txt /usr/local/bin/file2.txt
```"
List all files in the current directory quickly in the home directory for [IP_ADDRESS],"```bash
ssh [IP_ADDRESS] ls
```"
Change to the home directory  in ~/.ssh for [URL],"```bash
cd ~/.ssh
```"
Remove a file named 'example.txt' recursively in the parent directory for [FILE],"```bash
find ../ -name example.txt -exec rm {} +
```"
Remove a file named 'example.txt' securely in /usr/local/bin for [FILE],"```bash
shred -u /usr/local/bin/example.txt
```"
Find all .txt files in the current directory forcefully in the home directory for [PROCESS_ID],"```bash
find . -type f -name ""*.txt"" -exec lsof +D ~/ \; | grep [PROCESS_ID]
```"
Copy 'file1.txt' to 'file2.txt' securely in the home directory for,"```bash
cp ~/file1.txt ~/file2.txt
```"
Copy 'file1.txt' to 'file2.txt' recursively in ~/Documents for [EMAIL],"```bash
cp -r ~/Documents/file1.txt ~/Documents/file2.txt
```"
Show the current directory path  in ~/.ssh for [APP_NAME],"```bash
echo $(pwd) > ~/.ssh/[APP_NAME]
```"
Find all .txt files in the current directory verbosely in /usr/local/bin for [TIME],"```bash
find /usr/local/bin -name ""*.txt"" -print
```"
Create a new directory named 'test' securely in /Applications for [URL],"```bash
sudo mkdir /Applications/test
```"
Copy 'file1.txt' to 'file2.txt' interactively  for [APP_NAME],"```bash
cp -i file1.txt file2.txt
```"
Copy 'file1.txt' to 'file2.txt' interactively in /Applications for,"```bash
cp -i /Applications/file1.txt /Applications/file2.txt
```"
Remove a file named 'example.txt' securely in /Applications for [FILE],"```bash
shred -u /Applications/example.txt
```"
Change to the home directory forcefully in ~/.ssh for [TIME],"```bash
cd ~/.ssh || exit
```"
Create a new directory named 'test' quickly in the current folder for [IP_ADDRESS],"```bash
mkdir test
```"
Move 'file1.txt' to 'archive/' directory interactively in the parent directory for [DATE],"```bash
mv -i file1.txt ../archive/
```"
Find all .txt files in the current directory verbosely in /Applications for [DATE],"```bash
find /Applications -name ""*.txt"" -newermt ""[DATE]"" -print
```"
Create a new directory named 'test' quickly in the home directory for [IP_ADDRESS],"```bash
ssh [IP_ADDRESS] 'mkdir -p ~/test'
```"
Display disk usage of the current directory quickly  for [IP_ADDRESS],"```bash
ssh [IP_ADDRESS] 'du -sh .'
```"
Move 'file1.txt' to 'archive/' directory verbosely in the parent directory for [APP_NAME],"```bash
mv -v file1.txt ../archive/
```"
Change to the home directory forcefully in /usr/local/bin for [PROCESS_ID],"```bash
sudo HOME=/home/ PROCESS_ID=[PROCESS_ID] /usr/local/bin/some_command
```"
Move 'file1.txt' to 'archive/' directory securely in the current folder for [TIME],"```bash
mv -f --backup=numbered file1.txt archive/
```"
Move 'file1.txt' to 'archive/' directory verbosely in the current folder for [DIRECTORY],"```bash
mv -v file1.txt archive/
```"
Change to the home directory silently in /usr/local/bin for [PROCESS_ID],"```bash
cd /home > /dev/null 2>&1
```"
Show the current directory path  in the parent directory for [DATE],"```bash
cd .. && pwd
```"
Remove a file named 'example.txt' securely in /tmp for [FILE],"```bash
shred -u /tmp/example.txt
```"
Find all .txt files in the current directory verbosely in the parent directory for,"```bash
find . -name ""*.txt"" -print
```"
List all files in the current directory recursively in /Applications for [URL],"```
ls -R /Applications
```"
List all files in the current directory quickly in ~/.ssh for [USERNAME],"```bash
ls ~/.ssh
```"
Show the current directory path  in /Applications for [TIME],"```bash
cd /Applications && pwd
```"
Remove a file named 'example.txt' recursively in /Applications for [IP_ADDRESS],"```bash
ssh [IP_ADDRESS] 'find /Applications -name example.txt -exec rm {} \;'
```"
Display the contents of 'file.txt' silently in /Applications for [DATE],"```bash
cat /Applications/file.txt
```"
Display the contents of 'file.txt' recursively in /usr/local/bin for [TIME],"```bash
grep -r '[TIME]' /usr/local/bin/file.txt
```"
Move 'file1.txt' to 'archive/' directory  in the home directory for [FILE],"```bash
mv ~/file1.txt ~/archive/
```"
Create a new directory named 'test'  in /tmp for,"```bash
mkdir /tmp/test
```"
Create a new directory named 'test' recursively  for [APP_NAME],"```bash
mkdir -p [APP_NAME]/test
```"
Find all .txt files in the current directory forcefully in ~/Documents for [PROCESS_ID],"```bash
find . -type f -name '*.txt' | sudo tee /proc/[PROCESS_ID]/fd/1 > /dev/null
```"
List all files in the current directory interactively in /usr/local/bin for [IP_ADDRESS],"```bash
ls | ssh [IP_ADDRESS] 'cat > /usr/local/bin/interactive_list'
```"
Create a new directory named 'test' quickly in the parent directory for [PORT],"```bash
mkdir ../test
```"
Show the current directory path quickly in ~/.ssh for [DATE],"```bash
date ""[DATE]""; cd ~/.ssh; pwd
```"
List all files in the current directory verbosely in /tmp for [TIME],"```bash
ls -l > /tmp/[TIME]
```"
Find all .txt files in the current directory securely in /Applications for [URL],"```bash
find /Applications -type f -name ""*.txt""
```"
Display the contents of 'file.txt'  in ~/.ssh for [APP_NAME],"```bash
cat ~/.ssh/file.txt
```"
Create a new directory named 'test' interactively  for [DIRECTORY],"```bash
mkdir -p test
```"
Find all .txt files in the current directory  in the current folder for [URL],"```bash
find . -name ""*.txt""
```"
Move 'file1.txt' to 'archive/' directory quickly in /tmp for [PROCESS_ID],"```bash
mv /tmp/file1.txt /tmp/archive/
```"
Move 'file1.txt' to 'archive/' directory recursively in the parent directory for [DATE],"```bash
mv ../*/file1.txt archive/
```"
Remove a file named 'example.txt' forcefully in the current folder for [PORT],"```bash
rm -f example.txt
```"
Find all .txt files in the current directory silently in the home directory for [USERNAME],"```bash
find /home/[USERNAME] -type f -name ""*.txt"" -print 2>/dev/null
```"
Create a new directory named 'test' for [APP_NAME],"```bash
mkdir -p [APP_NAME]/test
```"
List all files in the current directory forcefully in /usr/local/bin for [USERNAME],"```bash
sudo -u [USERNAME] ls -l /usr/local/bin
```"
Show the current directory path quickly in the parent directory for [DIRECTORY],"```bash
(cd [DIRECTORY] && pwd)
```"
Create a new directory named 'test' verbosely in ~/.ssh for [PORT],"```bash
mkdir -v ~/.ssh/test
```"
Copy 'file1.txt' to 'file2.txt' quickly in /usr/local/bin for [PROCESS_ID],"```bash
cp /usr/local/bin/file1.txt /usr/local/bin/file2.txt
```"
Create a new directory named 'test' securely  for,"```bash
mkdir -m 700 test
```"
Copy 'file1.txt' to 'file2.txt' forcefully in ~/Documents for [PORT],"```bash
cp -f ~/Documents/file1.txt ~/Documents/file2.txt
```"
Display disk usage of the current directory interactively in the home directory for [APP_NAME],"```bash
cd ~/APP_NAME && ncdu
```"
Change to the home directory securely  for [PROCESS_ID],"```bash
cd ~
```"
Display disk usage of the current directory securely in /usr/local/bin for [USERNAME],"```bash
du -sh . > /usr/local/bin/disk_usage.txt
chown [USERNAME]:[USERNAME] /usr/local/bin/disk_usage.txt
chmod 600 /usr/local/bin/disk_usage.txt
```"
Display disk usage of the current directory verbosely in ~/Documents for [DIRECTORY],"```bash
du -h ~/Documents/[DIRECTORY]
```"
List all files in the current directory securely in ~/Documents for [PROCESS_ID],"```bash
ls -l > ~/Documents/secure_list_$PROCESS_ID.txt
```"
Remove a file named 'example.txt' interactively in /tmp for [DIRECTORY],"```bash
rm -i /tmp/example.txt
```"
Display the contents of 'file.txt' verbosely in /tmp for [USERNAME],"```bash
sudo -u [USERNAME] cat -v /tmp/file.txt
```"
Create a new directory named 'test' recursively in the home directory for [USERNAME],"```bash
mkdir -p /home/[USERNAME]/test
```"
Remove a file named 'example.txt' verbosely in the current folder for [FILE],"```bash
rm -v example.txt
```"
Show the current directory path interactively in ~/.ssh for [EMAIL],"```bash
ssh [EMAIL] 'pwd'
```"
Create a new directory named 'test' interactively in /tmp for [USERNAME],"```bash
sudo -u [USERNAME] mkdir -p /tmp/test
```"
Remove a file named 'example.txt' interactively in /usr/local/bin for [IP_ADDRESS],"```bash
ssh [IP_ADDRESS] 'rm -i /usr/local/bin/example.txt'
```"
Copy 'file1.txt' to 'file2.txt' in the parent directory,"```bash
cp file1.txt ../file2.txt
```"
Show the current directory path quickly  for [USERNAME],"```bash
sudo -u [USERNAME] pwd
```"
Find all .txt files in the current directory verbosely in /Applications for [DIRECTORY],"```bash
find /Applications/[DIRECTORY] -name ""*.txt"" -print
```"
Change to the home directory interactively in ~/Documents for [FILE],cd ~/Documents/
Display the contents of 'file.txt' for [URL],"```bash
cat file.txt
```"
Find all .txt files in the current directory securely in /Applications for [DATE],"```bash
sudo find /Applications -type f -name ""*.txt"" -newermt ""[DATE]""
```"
Show the current directory path silently in ~/.ssh for [USERNAME],"```bash
su [USERNAME] -c 'cd ~/.ssh && pwd >/dev/null 2>&1'
```"
Display the contents of 'file.txt' securely in /Applications for [IP_ADDRESS],"```bash
ssh [IP_ADDRESS] 'cat /Applications/file.txt'
```"
Display disk usage of the current directory silently in ~/.ssh for [FILE],"```bash
du -sh [FILE] > ~/.ssh/disk_usage.txt
```"
Display disk usage of the current directory recursively in the parent directory for [TIME],"```bash
du -sh ../*/*
```"
Create a new directory named 'test'  in ~/Documents for,"```bash
mkdir ~/Documents/test
```"
Display the contents of 'file.txt'  in ~/.ssh for,"```bash
cat ~/.ssh/file.txt
```"
Display disk usage of the current directory forcefully in the parent directory for [TIME],"```bash
du -sh . > ../[TIME]_disk_usage.txt
```"
Create a new directory named 'test' verbosely in /Applications for [TIME],"```bash
mkdir -v /Applications/test
```"
List all files in the current directory quickly in the home directory for [DIRECTORY],"```bash
ls ~/[DIRECTORY]
```"
Display the contents of 'file.txt' forcefully in the current folder for [URL],"```bash
cat file.txt
```"
Display the contents of 'file.txt' recursively in the parent directory for [FILE],"```bash
find .. -name file.txt -exec cat {} \;
```"
Show the current directory path recursively in the parent directory for [PORT],"```bash
lsof -p [PORT] | grep cwd
```"
Copy 'file1.txt' to 'file2.txt' recursively in /usr/local/bin for,"```bash
cp -r /usr/local/bin/file1.txt /usr/local/bin/file2.txt
```"
List all files in the current directory interactively in /tmp for [URL],"```bash
ls | tee /tmp/[URL]
```"
Copy 'file1.txt' to 'file2.txt' silently in /Applications for [PORT],"```bash
cp /Applications/file1.txt /Applications/file2.txt > /dev/null 2>&1
```"
Display the contents of 'file.txt' securely  for [DATE],"```bash
less file.txt
```"
List all files in the current directory forcefully in ~/Documents for [IP_ADDRESS],"```bash
scp * user@[IP_ADDRESS]:~/Documents/
```"
Change to the home directory forcefully in the home directory for [IP_ADDRESS],"```bash
ssh [IP_ADDRESS] ""cd ~""
```"
List all files in the current directory silently in /tmp for [DIRECTORY],"```bash
ls [DIRECTORY] > /tmp/files.txt
```"
Remove a file named 'example.txt' securely in ~/.ssh for [URL],"```bash
shred -u ~/.ssh/example.txt
```"
Copy 'file1.txt' to 'file2.txt' recursively  for [EMAIL],"```bash
cp -r file1.txt file2.txt
```"
Change to the home directory recursively  for [PROCESS_ID],"```bash
cd ~
```"
Copy 'file1.txt' to 'file2.txt' silently in the parent directory for [DATE],"```bash
cp -f file1.txt ../file2.txt
```"
Change to the home directory interactively in /Applications for [EMAIL],"```bash
sudo chown -R $(whoami) /Applications && open -a /Applications
```"
Display disk usage of the current directory securely in /usr/local/bin for [APP_NAME],"```bash
du -sh . | sudo tee /usr/local/bin/[APP_NAME]
```"
List all files in the current directory quickly in the parent directory for [URL],"```bash
ls -1 > ../file_list.txt
```"
Change to the home directory forcefully  for [PROCESS_ID],"```bash
cd ~ >/proc/[PROCESS_ID]/cwd
```"
List all files in the current directory quickly in ~/Documents for [USERNAME],"```bash
ls -al > ~/Documents/username_files.txt
```"
Remove a file named 'example.txt' securely in /tmp for [APP_NAME],"```bash
shred -u /tmp/example.txt
```"
Display disk usage of the current directory interactively in ~/.ssh for [EMAIL],`du -h --max-depth=1 ~/.ssh`
List all files in the current directory forcefully in /usr/local/bin for [EMAIL],"```bash
ls > /usr/local/bin/[EMAIL]
```"
Display disk usage of the current directory for [PORT],`du -sh .`
Find all .txt files in the current directory recursively in the home directory for [EMAIL],"```bash
find ~/ -type f -name ""*.txt""
```"
Find all .txt files in the current directory  in the home directory for,"```bash
find ~/ -type f -name ""*.txt""
```"
Copy 'file1.txt' to 'file2.txt' for [IP_ADDRESS],"```bash
scp file1.txt [IP_ADDRESS]:file2.txt
```"
Display disk usage of the current directory recursively in ~/Documents for [URL],"```bash
du -h ~/Documents
```"
Create a new directory named 'test' silently in ~/Documents for [PROCESS_ID],"```bash
mkdir -p ~/Documents/test
```"
Show the current directory path forcefully in ~/Documents for [DATE],"```bash
pwd > ~/Documents/[DATE].txt
```"
Create a new directory named 'test' quickly in ~/Documents for [APP_NAME],"```bash
mkdir -p ~/Documents/test
```"
Remove a file named 'example.txt' quickly in /Applications for [USERNAME],"```bash
sudo rm /Applications/example.txt
```"
Move 'file1.txt' to 'archive/' directory recursively in the current folder for [URL],"```bash
mv file1.txt archive/
```"
Move 'file1.txt' to 'archive/' directory recursively in /tmp for [FILE],"```bash
mv /tmp/file1.txt /tmp/archive/
```"
Display disk usage of the current directory interactively in /Applications for [EMAIL],`watch -n 1 'du -sh /Applications'`
Find all .txt files in the current directory   for [FILE],"```bash
find . -maxdepth 1 -name ""*.txt""
```"
Remove a file named 'example.txt'  in /usr/local/bin for [APP_NAME],"```bash
sudo rm /usr/local/bin/example.txt
```"
Change to the home directory quickly in the home directory for [USERNAME],"```bash
cd /home/[USERNAME]
```"
Create a new directory named 'test' verbosely in ~/Documents for [APP_NAME],"```bash
mkdir -v ~/Documents/test
```"
Move 'file1.txt' to 'archive/' directory forcefully in /Applications for [PROCESS_ID],"```bash
mv -f /Applications/file1.txt /Applications/archive/
```"
Copy 'file1.txt' to 'file2.txt' recursively in ~/Documents for [URL],"```bash
cp -r ~/Documents/file1.txt ~/Documents/file2.txt
```"
Move 'file1.txt' to 'archive/' directory securely in the home directory for,"```bash
mv ~/file1.txt ~/archive/
```"
List all files in the current directory  in ~/Documents for [URL],"```bash
ls ~/Documents/
```"
Display the contents of 'file.txt' forcefully in the parent directory for [FILE],"```bash
less ../file.txt
```"
Find all .txt files in the current directory verbosely in /usr/local/bin for [PORT],"```bash
find /usr/local/bin -type f -name ""*.txt"" -exec ls -l {} +
```"
Display disk usage of the current directory securely in ~/.ssh for [EMAIL],"```bash
du -sh ~/.ssh
```"
Create a new directory named 'test' for [TIME],"```bash
mkdir test
```"
Copy 'file1.txt' to 'file2.txt' quickly in /usr/local/bin for [FILE],"```bash
cp /usr/local/bin/file1.txt /usr/local/bin/file2.txt
```"
List all files in the current directory verbosely  for [TIME],"```bash
ls -l
```"
Display disk usage of the current directory securely in ~/Documents for [URL],"```bash
du -sh . > ~/Documents/disk_usage.txt
```"
Find all .txt files in the current directory silently  for [DIRECTORY],"```bash
find [DIRECTORY] -type f -name ""*.txt"" > /dev/null
```"
Display disk usage of the current directory  in /usr/local/bin for [URL],"```bash
/usr/local/bin/du -sh .
```"
Find all .txt files in the current directory interactively in /tmp for [TIME],"```bash
find . -name ""*.txt"" -ok mv {} /tmp \;
```"
Move 'file1.txt' to 'archive/' directory securely in /Applications for [APP_NAME],"```bash
mv /Applications/[APP_NAME]/file1.txt /Applications/[APP_NAME]/archive/
```"
Create a new directory named 'test' securely in the parent directory for [TIME],"```bash
mkdir -m 700 ../test
```"
Copy 'file1.txt' to 'file2.txt' silently in ~/.ssh for [USERNAME],"```bash
cp -q ~/.ssh/file1.txt ~/.ssh/file2.txt
```"
Display disk usage of the current directory quickly in the home directory for [IP_ADDRESS],"```bash
ssh [IP_ADDRESS] 'du -sh ~/'
```"
Find all .txt files in the current directory verbosely in ~/Documents for [FILE],"```bash
find ~/Documents -name ""*.txt"" -exec echo {} \;
```"
Show the current directory path verbosely in the home directory for [DATE],"```bash
pwd > ~/current_directory_path_[DATE].txt
```"
Remove a file named 'example.txt' interactively in /Applications for [APP_NAME],"```bash
rm -i /Applications/example.txt
```"
Move 'file1.txt' to 'archive/' directory  in /Applications for [IP_ADDRESS],"```bash
ssh [IP_ADDRESS] 'mv /Applications/file1.txt /Applications/archive/'
```"
Show the current directory path verbosely in /tmp for [IP_ADDRESS],"```bash
ssh [IP_ADDRESS] 'pwd -P' > /tmp/current_dir.txt
```"
Find all .txt files in the current directory forcefully in /tmp for [DIRECTORY],"```bash
find . -name ""*.txt"" -exec cp -f {} /tmp/ \;
```"
Display disk usage of the current directory quickly in /usr/local/bin for [EMAIL],"```
du -sh . > /usr/local/bin/[EMAIL]
```"
Change to the home directory interactively in /usr/local/bin for [TIME],"```bash
export PS1=""[\u@\h \W \t]$ ""
```"
Create a new directory named 'test' silently in /Applications for [TIME],"```bash
mkdir -p /Applications/test
```"
Show the current directory path quickly in /Applications for [PORT],"```bash
ls /Applications
```"
Find all .txt files in the current directory interactively in /Applications for [APP_NAME],"```
find . -name ""*.txt"" | xargs open -a [APP_NAME]
```"
Show the current directory path  in the parent directory for [PORT],"```bash
cd .. && pwd
```"
Copy 'file1.txt' to 'file2.txt' in ~/.ssh,"```bash
cp ~/.ssh/file1.txt ~/.ssh/file2.txt
```"
Create a new directory named 'test' forcefully in ~/.ssh for [PORT],"```bash
mkdir -p ~/.ssh/test
```"
Show the current directory path silently  for [APP_NAME],"```bash
pwd >/dev/null
```"
Find all .txt files in the current directory silently in the home directory for [EMAIL],"```bash
find ~/ -type f -name ""*.txt"" 2>/dev/null
```"
Copy 'file1.txt' to 'file2.txt' recursively  for,"```bash
cp -r file1.txt file2.txt
```"
Create a new directory named 'test' interactively in the home directory for [DATE],"```bash
mkdir -p ~/'test [DATE]'
```"
Move 'file1.txt' to 'archive/' directory securely in ~/Documents for [DATE],"```bash
scp ~/Documents/file1.txt ~/Documents/archive/
```"
Display the contents of 'file.txt' forcefully in /usr/local/bin for,"```bash
sudo cat /usr/local/bin/file.txt
```"
Show the current directory path  in the home directory for [DATE],"```bash
cd ~; pwd
```"
Display disk usage of the current directory forcefully in ~/Documents for [PORT],"```bash
du -sh ~/Documents/[PORT]
```"
Remove a file named 'example.txt' forcefully in /usr/local/bin for [FILE],"```bash
rm -f /usr/local/bin/example.txt
```"
List all files in the current directory quickly in the current folder for [PORT],"```
ls
```"
Find all .txt files in the current directory securely,"```bash
find . -type f -name '*.txt' -execdir printf '%s\n' {} +
```"
Display disk usage of the current directory verbosely in ~/.ssh for [URL],"```bash
du -sh ~/.ssh/
```"
List all files in the current directory recursively in the home directory for [APP_NAME],"```bash
ls -R ~/[APP_NAME]
```"
Find all .txt files in the current directory quickly in the parent directory for,"```bash
find .. -maxdepth 1 -name ""*.txt""
```"
List all files in the current directory forcefully in the parent directory for [TIME],"```bash
ls > ../file_list_$(date +%s).txt
```"
Display the contents of 'file.txt' forcefully in the current folder for [PORT],"```bash
cat file.txt
```"
Show the current directory path quickly in /tmp for [URL],"```bash
echo ""Current Path: $(pwd)"" > /tmp/current_path.txt
```"
Change to the home directory silently in /tmp for [PORT],"```bash
cd ~ > /dev/null 2>&1
```"
Find all .txt files in the current directory recursively in ~/Documents for [IP_ADDRESS],"```bash
find ~/Documents -type f -name ""*.txt""
```"
Copy 'file1.txt' to 'file2.txt' interactively in the current folder for [USERNAME],"```bash
sudo -u [USERNAME] cp -i file1.txt file2.txt
```"
Display disk usage of the current directory verbosely in ~/.ssh for [TIME],"```bash
du -sh ~/.ssh/*
```"
Move 'file1.txt' to 'archive/' directory in ~/.ssh,"```bash
mv ~/.ssh/file1.txt ~/.ssh/archive/
```"
List all files in the current directory recursively in ~/Documents for [DIRECTORY],"```bash
ls -R [DIRECTORY] > ~/Documents/files_list.txt
```"
Move 'file1.txt' to 'archive/' directory verbosely in the parent directory for [IP_ADDRESS],"```bash
mv -v file1.txt ../archive/
```"
Change to the home directory forcefully in the current folder for [DIRECTORY],"```bash
cd ~/DIRECTORY
```"
Display disk usage of the current directory verbosely in /Applications for [IP_ADDRESS],"```bash
ssh [IP_ADDRESS] 'du -sh /Applications/*'
```"
Move 'file1.txt' to 'archive/' directory silently in the parent directory for [USERNAME],"```bash
mv /home/[USERNAME]/file1.txt /home/[USERNAME]/archive/
```"
Remove a file named 'example.txt' securely in the home directory for [IP_ADDRESS],"```bash
ssh [IP_ADDRESS] ""shred -u ~/example.txt""
```"
Remove a file named 'example.txt' securely in the current folder for [PORT],"```bash
shred -u example.txt
```"
Show the current directory path recursively in the current folder for [USERNAME],"```bash
find /home/[USERNAME] -type d
```"
